start	end	text
0	22580	中文字幕 3
22580	26580	嘿 嘿 嘿
26580	28580	快快快
28580	32580	哇
46580	50580	小郭似乎比进球来的更晚一些
51580	54580	我刚到场边这球就已经硬生入瓦
61580	63580	梁兰英现在1比0
63580	67580	暂时领先我们去年的卫美观众和盛联
69580	71580	好球 胸部做得真舒服
77580	79580	兰英还是深圳跟他们的橙色对付
79580	82580	好球又找到另外一侧卖脚背的打门
84580	86580	这要是门来自弗兰蒂森
89580	91580	米兰赢了 米兰赢了
109580	116580	这球从边线由挨位拽出来
116580	118580	但是后点没人来包
118580	120580	麦克在哪个队
120580	122580	麦克在斯特城
140580	142580	好
160580	162580	别让他太舒服的转身
163580	165580	和盛联
166580	171580	和盛联这89号真灵 杨立峰
180580	182580	这也是一位中场的节奏大师
191580	193580	自己领球美领好
195580	197580	宁军问场舞 去问场舞
207580	209580	好球
221580	223580	我个人认为
223580	226580	拉给是一名六边形战士
226580	228580	好像没有什么短板
229580	234580	每一方面的能力单临出来
234580	236580	都是值得我们金金乐道的
239580	241580	梁亚兰赢已经二比零和盛联了
249580	251580	一百个QB
254580	257580	有人说这个脏辫去大连人视讯过
257580	259580	之前我们还开玩笑说卡马文家来了
259580	261580	这是弗兰地森
261580	263580	文将出来
278580	280580	看看89号杨立峰拿球
280580	282580	杨立峰
283580	285580	交给另外一侧队友
285580	286580	这没给回来
286580	287580	给的不太准
287580	288580	弗兰地森
288580	291580	一脚就往前找10号的季祥
291580	293580	季祥再跟拉基做配合
293580	295580	拉基
295580	297580	拉基是打三子了吧
301580	302580	拉基这场没开二度
302580	305580	不过这两个球都是充分个人能力的展现
306580	309580	这有点开挂了的意思
313580	314580	不打
318580	319580	季祥
320580	321580	黄金龙
321580	322580	再加上拉基
322580	323580	布兰迪森
323580	324580	艾伟
329580	331580	这完完全全是笨着门票来的
344580	346580	脚下很快
346580	349580	不过这次卡马文家的产党
350580	353580	租入了他继续将这个球往门前发展
353580	355580	他继续将这个球往门前发展
372580	374580	这次是一个犯规
374580	376580	20号的王金龙
377580	381580	踢到了杨立峰
381580	383580	马上上前把对方扶起
383580	385580	这时候甚至一张防牌他要被换下了
397580	399580	门家很激情
404580	406580	百分之一遥远射
406580	407580	还是弗兰迪森在门前
407580	408580	第二点还有
409580	411580	可惜这些后点不射的队友
412580	414580	并未能吃正部位
414580	416580	一脚又给踢出了边险
416580	418580	门匠也是大脸口音
420580	422580	门匠是 路德堡
422580	424580	好好门匠是路德堡
438580	440580	门匠也是大脸口音
440580	445960	门匠是路德堡
470580	475440	给门前
475700	477740	这转身小小的打门
478780	480040	打的倒是真有威胁
480300	481080	还是拉紧
495160	499500	做假设一直找不开空间这次终于拉开了但是射门角度有太正
500580	507500	看有人说四位压马
514400	517980	这个人解决问题的能力很强
523100	523880	杨立峰
525420	528740	这正是一个好苗子
528740	530780	这正是一个好球员
558740	585880	这球又
585880	589980	脚底踩给了芬兰迪森做了一个假设自己转过身来
590480	592020	还是要交给艾伟
595860	597660	交到后场这球差点被断下来
598940	600220	这场比赛会熔断吗
600480	602520	如果我们的卫冕冠军被熔断了呢
603540	605840	足以证明今天的水平相当高
608160	610200	这一波控球太神了
615880	630200	一球再给但是这家垃圾玩砸了
630940	631960	有远射的机会
632980	634260	第二点黄泪不再打
635040	639900	和省连说实话其实对我很不错踢的很不错
645880	659440	投球还是往前坐
659700	673520	这叫打飞了
703720	719860	算说现在时间不多了但是他们还是没有放弃进攻
719860	721140	这四个亚马
722420	723700	杨丽峰
732920	734440	可以打了
737260	740340	路德堡这球居然能够抓在手里
740840	743160	角度是已经要的非常死了
749860	761840	和省连这场比赛输掉3比0
762100	764400	战胜他们的是杨丽峰
764660	766200	和省连这边来说
766460	770300	我充分的肯定他们每一个球员的能力
770560	772340	刚刚我们这边也有
